dataset,test_cell,cycle,alpha,trend,residual,residual_compensation,soh_pred,soh_true
CALCE,CS2_35,16.0,0.411872,0.9949498772621155,-0.00033050644757855185,-0.00013612635141254124,0.9948137509107029,0.9945856461098688
CALCE,CS2_35,17.0,0.391235,0.9945856332778931,-0.0003303970875487075,-0.00012926290254313845,0.99445637037535,0.9940558377368488
CALCE,CS2_35,18.0,0.36583114,0.9940558671951294,-0.0003303190313192275,-0.00012084098670230912,0.9939350262084271,0.9933938358247986
CALCE,CS2_35,19.0,0.31242248,0.9933938384056091,-0.0003302396199468746,-0.00010317428243168169,0.9932906641231775,0.9898669806658424
CALCE,CS2_35,20.0,0.29946184,0.9898669719696045,-0.0003293401664506909,-9.862481275265863e-05,0.9897683471568518,0.989437648588973
CALCE,CS2_35,21.0,0.26830104,0.9894376397132874,-0.0003293096305646212,-8.835411634082136e-05,0.9893492855969466,0.9890863295012022
CALCE,CS2_35,22.0,0.20231414,0.9890863299369812,-0.0003295108241098202,-6.666469847736306e-05,0.9890196652385038,0.988753653496143
CALCE,CS2_35,23.0,0.19346039,0.9887536764144897,-0.0003297227684551443,-6.378829536789168e-05,0.9886898881191218,0.9883941356516056
CALCE,CS2_35,24.0,0.17510834,0.9883941411972046,-0.0003299611832579194,-5.777895617432624e-05,0.9883363622410303,0.987999773070958
CALCE,CS2_35,25.0,0.1768772,0.9879997968673706,-0.0003301796774604626,-5.840125704536826e-05,0.9879413956103252,0.9876342618995688
CALCE,CS2_35,26.0,0.21517673,0.9876342415809631,-0.00033026310909000517,-7.106493629882772e-05,0.9875631766446643,0.978600763515592
CALCE,CS2_35,27.0,0.26627296,0.9786007404327393,-0.0003247397274257144,-8.646940913103312e-05,0.9785142710236082,0.971164838151943
CALCE,CS2_35,28.0,0.3153496,0.9711648225784302,-0.0003184820390100193,-0.000100433186366967,0.9710643893920632,0.9653373000370428
CALCE,CS2_35,29.0,0.3678903,0.9653372764587402,-0.00031405876232996205,-0.00011553917177819809,0.965221737286962,0.964045412920911
CALCE,CS2_35,30.0,0.39705628,0.9640454053878784,-0.00031533598448768574,-0.00012520613344482983,0.9639201992544336,0.9627912286830088
CALCE,CS2_35,31.0,0.42060262,0.9627912044525146,-0.0003177623226302134,-0.0001336516653236943,0.962657552787191,0.9713014832056328
CALCE,CS2_35,32.0,0.39656082,0.9713014960289001,-0.0003278020792899308,-0.00012999346069119557,0.9711715025682089,0.9725132511281882
CALCE,CS2_35,33.0,0.38433823,0.9725132584571838,-0.00033000382508698717,-0.0001268330859923924,0.9723864253711915,0.9647697600817996
CALCE,CS2_35,34.0,0.4131519,0.9647697806358337,-0.00032866187227136717,-0.00013578727371281766,0.964633993362121,0.9570943989358875
CALCE,CS2_35,35.0,0.43774083,0.9570943713188171,-0.00032447258359403347,-0.00014203489888768746,0.9569523364199295,0.9559063490142868
CALCE,CS2_35,36.0,0.45056295,0.955906331539154,-0.00032416162347612826,-0.00014605521863029962,0.9557602763205237,0.9552623067175052
CALCE,CS2_35,37.0,0.45664516,0.955262303352356,-0.00032438395725014474,-0.00014812836435623968,0.9551141749879997,0.9543373113012628
CALCE,CS2_35,38.0,0.4586135,0.9543372988700867,-0.0003248574441699417,-0.0001489840143122749,0.9541883148557744,0.962877750692809
CALCE,CS2_35,39.0,0.4150151,0.9628777503967285,-0.0003303840781771275,-0.0001371143817164628,0.962740636015012,0.9640511612771328
CALCE,CS2_35,40.0,0.38046965,0.9640511870384216,-0.00033069156009499223,-0.0001258181021372614,0.9639253689362843,0.9614837574523062
CALCE,CS2_35,41.0,0.35933542,0.9614837765693665,-0.0003305839165794536,-0.00011879051134102878,0.9613649860580255,0.9529760939997434
CALCE,CS2_35,42.0,0.33775795,0.9529761075973511,-0.0003286438488711574,-0.00011100207105157122,0.9528651055262995,0.9485389132421236
CALCE,CS2_35,43.0,0.32309434,0.9485388994216919,-0.0003248123630837027,-0.00010494503548276731,0.9484339543862091,0.9481061488464164
CALCE,CS2_35,44.0,0.30870274,0.9481061697006226,-0.0003244021161646418,-0.00010014382117877712,0.9480060258794438,0.9472884142649024
CALCE,CS2_35,45.0,0.32047257,0.9472883939743042,-0.0003245916103097046,-0.00010402270699599651,0.9471843712673083,0.9542949184497704
CALCE,CS2_35,46.0,0.27741188,0.9542949199676514,-0.00032997030788659704,-9.153768283101869e-05,0.9542033822848204,0.9562783847743868
CALCE,CS2_35,47.0,0.3043122,0.956278383731842,-0.00033058626549376663,-0.00010060143352869026,0.9561777822983134,0.9602969666453108
CALCE,CS2_35,48.0,0.25554955,0.9602969884872437,-0.0003308443750396281,-8.454713118008684e-05,0.9602124413560635,0.9467883771121728
CALCE,CS2_35,49.0,0.2716138,0.9467883706092834,-0.0003288222760160914,-8.931267004616338e-05,0.9466990579392373,0.9463662580645414
CALCE,CS2_35,50.0,0.2388497,0.9463662505149841,-0.000328217566094767,-7.8394667031445e-05,0.9462878558479527,0.9458955572767622
CALCE,CS2_35,51.0,0.24509639,0.9458955526351929,-0.00032773007603194987,-8.032545704818004e-05,0.9458152271781447,0.944738312799524
CALCE,CS2_35,52.0,0.2597387,0.9447383284568787,-0.0003269966727091275,-8.493369508919238e-05,0.9446533947617894,0.9881802188508706
CALCE,CS2_35,53.0,0.07332428,0.9881802201271057,-0.00033125706121586024,-2.4289184845066585e-05,0.9881559309422606,0.982370354631276
CALCE,CS2_35,54.0,0.086519755,0.9823703765869141,-0.0003311763398720635,-2.865329592763811e-05,0.9823417232909865,0.9879540050339272
CALCE,CS2_35,55.0,0.06324425,0.9879540205001831,-0.0003311795922149585,-2.094520604995396e-05,0.9879330752941331,0.987780822939788
